Feature:,Collapse Group:,Notes:
oc_Cataracts (OS),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts (OS),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery (OU),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery (OU) 1 yr before death,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataract surgery OU in 2008,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (surgery OU),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataract surgery OU in 2008,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataract surgery ou approx 5 yrs before death,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts (OU),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts OU,Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_cataracts (OU),Cataracts,"Laterality variants (OD=right eye, OS=left eye, OU=both eyes). surgery implies the patient had cataracts"
oc_Cataracts; confirmed pseudophakic),Cataracts; Pseudophakic,
mh_CKD,Chronic kidney disease (CKD),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_CKD - stage 3,Chronic kidney disease (CKD),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_Chronic Kidney disease,Chronic kidney disease (CKD),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_chronic kidney disease,Chronic kidney disease (CKD),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_chronic kidney disease - stage 3,Chronic kidney disease (CKD),"Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD"
mh_cirrhosis,Cirrhosis (unspecified cause),"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_liver cirrhosis,Cirrhosis (unspecified cause),"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_colon cancer,Colon cancer,
mh_possible colon cancer,Colon cancer,
mh_CHF,Congestive heart failure (CHF),CHF = congestive heart failure
mh_congestive heart failure,Congestive heart failure (CHF),CHF = congestive heart failure
mh_heart failure,Congestive heart failure (CHF),CHF = congestive heart failure
mh_COPD,COPD,COPD = chronic obstructive pulmonary disease
mh_chronic obstructive pulmonary disease,COPD,COPD = chronic obstructive pulmonary disease
mh_emphysema,COPD,Emphysema is a form/consequence of COPD
mh_severe COPD,COPD,COPD = chronic obstructive pulmonary disease
mh_corneal ulcer,Corneal ulcer,
oc_eye ulcers,Corneal ulcer,
mh_CAD,Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_Coronary Artery Disease,Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_coronary artery disease,Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_coronary artery disesase,Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_ischemic heart disease,Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_CABG,Coronary artery disease (CAD),CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_CABG - 1979,Coronary artery disease (CAD),CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_CAD (CABG - 1998),Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_CAD s/p CABG,Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_CAD s/p stent,Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_cardiac bypass (2003),Coronary artery disease (CAD),CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_coronary artery disease s/p bypass,Coronary artery disease (CAD),"CAD = coronary artery disease. CABG = coronary artery bypass graft (a surgery for CAD, not a separate disease)"
mh_stent placement,Coronary artery disease (CAD),CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_stent placement - 1995,Coronary artery disease (CAD),CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_stents,Coronary artery disease (CAD),CABG = coronary artery bypass graft; stent placement -- both are CAD treatments
mh_Dementia,Dementia,
mh_dementia,Dementia,
mh_Depression,Depression,
mh_depression,Depression,
mh_on antidepressant,Depression,
mh_depression/bipolar,Depression; Bipolar,
mh_Diverticulitis,Diverticulitis,
mh_diverticulitis,Diverticulitis,
mh_Eye drops for eyes,Dry eye,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
mh_rewetting drops for eyes,Dry eye,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_Restasis for dry eyes,Dry eye,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_drops for dryness,Dry eye,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_saline drop,Dry eye,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_used eye drops,Dry eye,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_dry eye,Dry eye,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
oc_dry eye syndrome,Dry eye,"Dry eye diagnosis and related lubricating drop use -- distinct from ""drops at time of surgery"" (a peri-operative note)."
mh_ESLD,End stage liver disease (ESLD),"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_end stage liver disease,End stage liver disease (ESLD),"ESLD = end stage liver disease. Encephalopathy here appears to be hepatic/metabolic encephalopathy (liver-related), not a separate neuro condition -- ""mh_haptic encephalopathy"" looks like a typo for ""hepatic encephalopathy"""
mh_esophageal cancer,Esophageal cancer,
mh_esophageal cancern diagnosed 2 years ago,Esophageal cancer,
oc_cosmetic lid sx,Eyelid surgery,sx = surgery.
oc_eyelid sx(inversion of eyelid),Eyelid surgery,sx = surgery.
oc_eyelid sx(since child),Eyelid surgery,sx = surgery.
mh_Fibromyalgia,Fibromyalgia,
mh_fibromyalgia,Fibromyalgia,
mh_Grave's disease,Graves' disease,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket.
mh_grave's disease,Graves' disease,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket.
mh_possible Graves' disease,Graves' disease,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket.
mh_Heart Disease,Heart disease,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_Heart disease,Heart disease,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_heart diseaes,Heart disease,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_heart disease,Heart disease,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_heart problems,Heart disease,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_mild herat disease,Heart disease,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_minor heart problems,Heart disease,"Vague chart-note phrasing (""heart disease"", ""heart problems"") -- doesn't specify CAD/CHF/valve/other. maybe have a separate ""generic heart disease"" bucket rather than merging into a specific diagnosis"
mh_Dyslipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_High Cholesterol,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_High cholesterol,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_Hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_elevated cholesterol,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_high chol,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_high cholesterol,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_high lipids,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_hihg cholesterol,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_hyperlipidemia,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_increased cholesterol,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_nigh cholesterol,High cholesterol / hyperlipidemia,"Same underlying condition written many ways (typos: ""nigh cholesterol"", ""hihg cholesterol""; synonyms: hyperlipidemia, dyslipidemia, elevated/increased cholesterol).  "
mh_Jon hodgkins lymphoma diagnosed 21 years ago,Hodgkin's lymphoma,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket. 
mh_hodgkins lymphoma,Hodgkin's lymphoma,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket. 
mh_HBP,Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_HTN,Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_HTn,Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_High Blood Pressure,Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_High blood pressure,Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_Hypertension,Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_high BP,Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_high blood pessure,Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_high blood pressure,Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_hypertension,Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; "
mh_HN,Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_HTN (took meds),Hypertension (HTN),"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_pulmonary HTN,Hypertension (HTN),
mh_HTN basal cell carcinoma,Hypertension (HTN); Basal cell carcinoma,"HBP/HTN = hypertension. ""mh_HN"" is ambiguous -- likely a typo for HTN but could mean something else; verify before merging. Includes compound entries like ""mh_HTN basal cell carcinoma"" and ""mh_HTN (took meds)"" that append extra info to the same cell."
mh_hypotension,Hypotension (low blood pressure),Opposite condition from hypertension
mh_low blood pressure,Hypotension (low blood pressure),Opposite condition from hypertension
mh_Hypothyroid,Hypothyroidism,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothroid,Hypothyroidism,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothroidism,Hypothyroidism,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothyroid,Hypothyroidism,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_hypothyroidism,Hypothyroidism,Hypothyroidism (underactive thyroid) and Grave's disease (autoimmune hyperthyroidism) are different directions of thyroid dysfunction -- confirm before merging into one bucket. 
mh_ICH,Intracranial hemorrhage (ICH),ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap
mh_cerebral hemorrhage,Intracranial hemorrhage (ICH),ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap
mh_head bleed,Intracranial hemorrhage (ICH),ICH = intracranial hemorrhage. Brain bleed/infarct events distinct from ischemic stroke (CVA) label above -- verify overlap
mh_generalized jaundice,Jaundice,"Symptom, often liver-related -- consider cross-referencing with liver disease group"
mh_jaundice,Jaundice,"Symptom, often liver-related -- consider cross-referencing with liver disease group"
mh_kidney disease,"Kidney disease/problems (vague, unspecified)","Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidney issues,"Kidney disease/problems (vague, unspecified)","Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidney issues (has 2 but only 1 works),"Kidney disease/problems (vague, unspecified)","Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidney problems,"Kidney disease/problems (vague, unspecified)","Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
mh_kidnry disease,"Kidney disease/problems (vague, unspecified)","Renal failure, CKD (chronic kidney disease), and related kidney conditions. ""mh_kidney cancer"" and ""mh_kidney atrophy"" are related organ but distinct pathology from failure/CKD -- consider whether to keep separate"
oc_lasik,LASIK,
oc_lasik surgery,LASIK,
mh_Lasik surgery ~10 years ago,LASIK,
oc_lasik surgery (OS) 8 yrs ago,LASIK,
oc_lasik (OU),LASIK,
oc_lasik 10 yrs ago (OU),LASIK,
oc_2 eye surgeries: lazy eye correction,Lazy eye (amblyopia),
oc_lazy eye,Lazy eye (amblyopia),
mh_Leukemia,Leukemia,Generic leukemia mention without AML/CML/CLL subtype specified
mh_leukemia,Leukemia,Generic leukemia mention without AML/CML/CLL subtype specified
mh_MS,Multiple sclerosis (MS),MS = multiple sclerosis
mh_MS (diagnosed 1960),Multiple sclerosis (MS),MS = multiple sclerosis
mh_myleodyspastic syndrome,Myelodysplastic syndrome (pre-leukemic),Generic leukemia mention without AML/CML/CLL subtype specified.
mh_pre-leukemic blood disorder,Myelodysplastic syndrome (pre-leukemic),Generic leukemia mention without AML/CML/CLL subtype specified.
mh_MI,Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_MI - 1yr ago,Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_STEMI,Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_heart attack,Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_multiple myocardial infarctions,Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_recent MI,Myocardial infarction (MI / heart attack),MI = myocardial infarction (heart attack). STEMI is a specific/severe MI subtype -- decide whether to keep separate
mh_Non-Hodgkin's lymphoma,Non-Hodgkin's lymphoma,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket
mh_Non-Hodgkins lymphoma,Non-Hodgkin's lymphoma,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket
mh_non-Hodgkin's lymphoma,Non-Hodgkin's lymphoma,Hodgkin's and Non-Hodgkin's lymphoma are clinically distinct -- verify whether rows distinguish them before merging into one lymphoma bucket
mh_DJD,Osteoarthritis (OA/DJD),"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_Degenerative Joint disease,Osteoarthritis (OA/DJD),"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_OA,Osteoarthritis (OA/DJD),"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_asteoarthritis,Osteoarthritis (OA/DJD),"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_osteoarthritis,Osteoarthritis (OA/DJD),"OA = osteoarthritis; DJD = degenerative joint disease, essentially the same condition as OA. Distinct from rheumatoid arthritis (autoimmune)"
mh_osteoperosis,Osteoporosis,
mh_osteoporosis,Osteoporosis,
mh_Parkinson's,Parkinson's disease,"Parkinson's disease, various spellings"
mh_Parkinsons,Parkinson's disease,"Parkinson's disease, various spellings"
mh_parkinson,Parkinson's disease,"Parkinson's disease, various spellings"
mh_parkinson's,Parkinson's disease,"Parkinson's disease, various spellings"
oc_confirmed phakic,Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_phakic,Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakic (OD),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakis (OD),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_Confirmed phakic (OU),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakic (OU),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakic(OU),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present"
oc_confirmed phakic (OS),Phakic,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present."
mh_Pleural effusions,Pleural effusion,"Fluid around the lungs -- can be a symptom of several underlying conditions (heart failure, cancer, infection); kept as its own bucket rather than merged into one cause"
mh_large pleural effusion,Pleural effusion,"Fluid around the lungs -- can be a symptom of several underlying conditions (heart failure, cancer, infection); kept as its own bucket rather than merged into one cause"
mh_pleural effusion,Pleural effusion,"Fluid around the lungs -- can be a symptom of several underlying conditions (heart failure, cancer, infection); kept as its own bucket rather than merged into one cause"
